Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
1,Precious Achiuwa,C,23,TOR,55,12,1140,6.2,12.8,6.6,0.485,0.9,3.4,0.269,5.3,9.3,0.564,2.7,3.9,1.2,0.702,3.2,7.2,10.4,1.6,1,0.9,1.9,3.2,16,61.71875,54.59819143,8.814212918,10.46687784,0.97234883,0.009473684
2,Steven Adams,C,29,MEM,42,42,1133,5,8.4,3.4,0.597,0,0,0,5,8.3,0.599,1.5,4.1,2.6,0.364,6.8,8.6,15.4,3.1,1.1,1.5,2.5,3.1,11.5,59.52380952,55.56897801,19.43878351,15.67643831,0.902314633,0.014121801
3,Bam Adebayo,C,25,MIA,75,75,2598,8.3,15.4,7.1,0.54,0,0.2,0.083,8.3,15.3,0.545,4.5,5.6,1.1,0.806,2.5,7,9.5,3.3,1.2,0.8,2.6,2.9,21.2,54.54545455,58.69324474,13.77295492,10.85141903,1.033138402,0.005350269
4,Ochai Agbaji,SG,22,UTA,59,22,1209,4.9,11.5,6.6,0.427,2.4,6.8,0.355,2.5,4.7,0.532,1.7,2.1,0.4,0.812,1.3,2.3,3.6,2,0.5,0.4,1.2,2.9,13.9,72.17391304,55.61112222,12.74088231,7.644529384,1.018688164,0.003639371
5,Santi Aldama,PF,22,MEM,77,20,1682,5.3,11.2,5.9,0.47,2,5.7,0.353,3.3,5.5,0.591,2.3,3.1,0.8,0.75,1.8,6.1,7.9,2.1,1,1,1.3,3.1,14.9,72.76785714,58.78871572,13.06579561,8.088349666,1.072328176,0.006242568
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,5.3,12,6.7,0.444,2.5,6.5,0.384,2.9,5.5,0.515,1.6,2.4,0.8,0.667,0.6,3.5,4.1,4.4,1.3,0.9,2.2,3.6,14.8,71.25,56.31659056,22.28976697,11.14488349,0.968586387,0.007692308
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,5.7,11.6,5.9,0.488,2.4,5.9,0.402,3.3,5.7,0.578,1.8,2.7,0.9,0.692,0.5,3.5,4,5.2,1.6,1,3.1,4,15.5,74.56896552,60.1591306,24.54856603,14.63472206,0.973923971,0.014772727
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,356,4.9,12.6,7.7,0.384,2.6,7.3,0.361,2.2,5.4,0.415,1.3,2.1,0.8,0.619,0.7,3.5,4.2,3.2,0.8,0.7,1,3,13.7,67.85714286,50.37690752,17.98005338,5.618766681,0.941904435,0.014606742
7,Grayson Allen,SG,27,MIL,72,70,1972,4.5,10.2,5.7,0.44,2.7,6.7,0.399,1.8,3.5,0.518,2.1,2.3,0.2,0.905,1.1,3.2,4.3,3,1.1,0.3,1.3,2.1,13.7,76.96078431,60.65972991,19.24001924,8.337341671,1.092939769,0.004411765
8,Jarrett Allen,C,24,CLE,68,68,2220,6.5,10.2,3.7,0.644,0,0.2,0.1,6.5,10,0.653,2.6,3.6,1,0.733,3.6,7.2,10.8,1.8,0.9,1.4,1.5,2.5,15.7,64.70588235,65.91099916,11.83431953,9.861932939,1.178678679,0.006891892
